哎,āi,hey
佩服,pèi fú,to admire; have a high opinion of
配合,pèi hé,suitable; fit; matching
培训,péi xùn,training; cultivate
培养,péi yǎng,train; foster
盆,pén,basin; tub; pot
碰,pèng,to meet with
批,pī,to criticize; refute; batch
披,pī,to drape over one's shoulders; to wrap around; unroll
匹,pǐ,[measure word for horses and cloth]
疲劳,pí láo,tired; fatigued; weary
批准,pī zhǔn,ratify; approve; authorise
片,piàn,"[flat, thin piece of]; slice; flake"
片面,piàn miàn,unilateral; one-sided
飘,piāo,wave to and fro; float; flutter
频道,pín dào,(frequency) channel
拼音,pīn yīn,Pinyin [Chinese romanization system]
平,píng,flat; level; even; equal
凭,píng,lean on; depend on; evidence
平安,píng ān,"peace, safe and sound"
平常,píng cháng,ordinarily; generally; usually
平等,píng děng,equal; equality
平方,píng fāng,square
平衡,píng héng,balance; equilibrium
评价,píng jià,appraise; evaluate; assess
平静,píng jìng,calm; quiet; tranquil
平均,píng jūn,average; mean; equally
破产,pò chǎn,to go bankrupt; go broke; become insolvent
破坏,pò huài,destroy; wreck; ruin
迫切,pò qiè,urgent; pressing
期待,qī dài,anticipate; await; expect
启发,qǐ fā,inspire; illuminate; enlighten
气氛,qì fēn,atmosphere; air
奇迹,qí jì,miracle; wonder; marvel
期间,qī jiān,time; period; duration
企业,qǐ yè,enterprise; establishment; business
汽油,qì yóu,gasoline; petrol
其余,qí yú,the others; rest; remainder
签,qiān,to sign
浅,qiǎn,light [colour]; shallow
欠,qiàn,yawn; owe; be behind with
前途,qián tú,future; prospect; promise
谦虚,qiān xū,modest; self-effacing
枪,qiāng,spear; rifle; gun
墙,qiáng,wall
抢,qiǎng,knock; grab; rob
强调,qiáng diào,stress; emphasize; underline
强烈,qiáng liè,strong; intense; violent
瞧,qiáo,look; see
巧妙,qiǎo miào,ingenious; clever
悄悄,qiāo qiāo,quietly; whisper; on the quiet
切,qiē,cut; slice
亲爱,qīn ài,dear; beloved
勤奋,qín fèn,diligent; assiduous; industrious
亲切,qīn qiè,kind; amiable; cordial
亲自,qīn zì,in person; oneself
青,qīng,blue or green [colour of water or grass]
青春,qīng chūn,youth
